Time,TargetX0,CurrentX0,VelX0,ErrorX0,PIDOutX0,PTermX0,ITermX0,DTermX0,TargetY0,CurrentY0,VelY0,ErrorY0,PIDOutY0,PTermY0,ITermY0,DTermY0,TargetX1,CurrentX1,VelX1,ErrorX1,PIDOutX1,PTermX1,ITermX1,DTermX1,TargetY1,CurrentY1,VelY1,ErrorY1,PIDOutY1,PTermY1,ITermY1,DTermY1,TargetX2,CurrentX2,VelX2,ErrorX2,PIDOutX2,PTermX2,ITermX2,DTermX2,TargetY2,CurrentY2,VelY2,ErrorY2,PIDOutY2,PTermY2,ITermY2,DTermY2
2,5,4.53785,2.16437,0.462153,-1.48282,0.855558,0.400844,-2.73922,7.3094,6.81902,2.26955,0.490383,-1.54626,0.90579,0.419764,-2.87182,3,2.80399,0.925022,0.196009,-0.635988,0.36339,0.171461,-1.17084,3.8453,3.59406,1.18566,0.251238,-0.815189,0.465781,0.219773,-1.50074,7,6.67332,1.5417,0.326682,-1.05998,0.60565,0.285769,-1.9514,3.8453,3.59406,1.18566,0.251238,-0.815189,0.465781,0.219773,-1.50074
2.05,5,4.64022,2.04749,0.359779,-1.50202,0.69323,0.401999,-2.59725,7.3094,6.92639,2.14738,0.383014,-1.56689,0.735574,0.42099,-2.72346,3,2.84774,0.874963,0.152261,-0.644062,0.294013,0.171951,-1.11003,3.8453,3.65014,1.1215,0.195163,-0.825537,0.376857,0.220401,-1.4228,7,6.74623,1.45827,0.253768,-1.07344,0.490022,0.286585,-1.85004,3.8453,3.65014,1.1215,0.195163,-0.825537,0.376857,0.220401,-1.4228
2.1,5,4.73684,1.93233,0.263163,-1.51442,0.539669,0.402898,-2.45698,7.3094,7.02774,2.02699,0.281664,-1.58039,0.574521,0.421948,-2.57686,3,2.88902,0.825651,0.110978,-0.649232,0.228391,0.172332,-1.04996,3.8453,3.70305,1.05829,0.142248,-0.832164,0.292744,0.220889,-1.3458,7,6.81504,1.37609,0.184964,-1.08205,0.380652,0.28722,-1.74993,3.8453,3.70305,1.05829,0.142248,-0.832164,0.292744,0.220889,-1.3458
2.15,5,4.8278,1.81918,0.172204,-1.5205,0.394744,0.403556,-2.3188,7.3094,7.12317,1.90868,0.18623,-1.58724,0.422496,0.422652,-2.43239,3,2.92788,0.777205,0.072118,-0.651705,0.166467,0.172609,-0.990781,3.8453,3.75286,0.996195,0.0924384,-0.835333,0.213372,0.221245,-1.26995,7,6.8798,1.29534,0.120197,-1.08617,0.277446,0.287682,-1.6513,3.8453,3.75286,0.996195,0.0924384,-0.835333,0.213372,0.221245,-1.26995
2.2,5,4.91321,1.70828,0.0867896,-1.52072,0.258305,0.403987,-2.18302,7.3094,7.21281,1.7927,0.0965955,-1.58795,0.279345,0.423118,-2.29041,3,2.96437,0.729728,0.0356316,-0.651679,0.108177,0.17279,-0.932646,3.8453,3.79963,0.935341,0.0456714,-0.8353,0.138658,0.221476,-1.19543,7,6.94061,1.21621,0.059386,-1.08613,0.180295,0.287983,-1.55441,3.8453,3.79963,0.935341,0.0456714,-0.8353,0.138658,0.221476,-1.19543
2.25,5,4.9932,1.59985,0.0067969,-1.51555,0.130184,0.404204,-2.04994,7.3094,7.29677,1.67928,0.0126317,-1.58298,0.144893,0.423359,-2.15123,3,2.99853,0.683316,0.00146579,-0.649348,0.0534474,0.172879,-0.875674,3.8453,3.84342,0.875851,0.0018788,-0.832312,0.068507,0.22159,-1.12241,7,6.99756,1.13886,0.00244298,-1.08225,0.0890789,0.288131,-1.45946,3.8453,3.84342,0.875851,0.0018788,-0.832312,0.068507,0.22159,-1.12241
2.3,5,5.06791,1.49409,-0.0679077,-1.50541,0.0101953,0.404221,-1.91982,7.3094,7.3752,1.56862,-0.0657995,-1.57279,0.0189475,0.423391,-2.01513,3,3.03044,0.638049,-0.0304367,-0.644898,0.00219868,0.172882,-0.819979,3.8453,3.88431,0.81783,-0.0390127,-0.826608,0.00281819,0.221595,-1.05102,7,7.05073,1.06342,-0.0507278,-1.07483,0.00366447,0.288137,-1.36663,3.8453,3.88431,0.81783,-0.0390127,-0.826608,0.00281819,0.221595,-1.05102
2.35,5,5.13747,1.39116,-0.137466,-1.49072,-0.101862,0.404051,-1.79291,7.3094,7.44825,1.46092,-0.138845,-1.55782,-0.0986992,0.423226,-1.88235,3,3.06014,0.594002,-0.0601368,-0.638508,-0.045655,0.172806,-0.765659,3.8453,3.92238,0.761371,-0.0770813,-0.818418,-0.0585191,0.221497,-0.981396,7,7.10023,0.990003,-0.100228,-1.06418,-0.0760917,0.288011,-1.2761,3.8453,3.92238,0.761371,-0.0770813,-0.818418,-0.0585191,0.221497,-0.981396
2.4,5,5.20203,1.29122,-0.202027,-1.47189,-0.206199,0.403707,-1.6694,7.3094,7.51606,1.35631,-0.206661,-1.53849,-0.208268,0.422879,-1.7531,3,3.0877,0.551234,-0.0876985,-0.630351,-0.0902051,0.172656,-0.712802,3.8453,3.95771,0.706554,-0.112409,-0.807963,-0.115622,0.221305,-0.913646,7,7.14616,0.918724,-0.146164,-1.05058,-0.150342,0.28776,-1.188,3.8453,3.95771,0.706554,-0.112409,-0.807963,-0.115622,0.221305,-0.913646
2.45,5,5.26175,1.19438,-0.261746,-1.4493,-0.30304,0.403202,-1.54946,7.3094,7.57881,1.25494,-0.269408,-1.5152,-0.309992,0.422362,-1.62758,3,3.11319,0.509801,-0.113189,-0.620592,-0.131548,0.172437,-0.661481,3.8453,3.99038,0.653445,-0.145081,-0.795454,-0.168613,0.221024,-0.847864,7,7.18865,0.849668,-0.188648,-1.03432,-0.219246,0.287395,-1.10247,3.8453,3.99038,0.653445,-0.145081,-0.795454,-0.168613,0.221024,-0.847864
